"personID","Label","MovementLeft","HighjumpLeft","BothPositiveLeft","MovementHighLeft","MengeAnVorzeichenwechselLeft","MovementRight","HighjumpRight","BothPositiveRight","MovementHighRight","MengeAnVorzeichenwechselRight","AvgAccX","AvgAccY","AvgAccZ","AvgGyroX","AvgGyroY","AvgGyroZ","AvgMagX","AvgMagY","AvgMagZ"
"1","jumping","10.164206127667677","17","48","0","45","10.476180986706193","17","54","0","53","-0.0006089565360692996","0.0017799132394945682","-0.0027103651693270994","-0.0018013784461208182","-0.008862092772538204","-0.0007853794644021793","-0.2096178108424986","-0.07725794353755967","-0.017510966819101387"
"1","jumping","10.840586915337383","18","58","0","80","11.980826239709044","18","40","0","74","-0.000538026367540549","0.0020467201042721145","-0.005709296527352463","0.0003746436025041224","-0.008166658087465237","0.001542378563644195","-0.16345692591484778","-0.05541480648903123","-0.010603180205844234"
"1","jumping","9.87479921871392","16","52","0","80","14.030064789114828","17","35","0","79","-0.004038986507222199","-0.0005860040646969052","-0.004793185362391055","-0.0026052296900633317","-0.006475016375177386","-0.003779422853721432","-0.13063356254656872","-0.05094334806328777","-0.003980161810247901"
"1","jumping","10.224905514619742","16","61","0","49","14.354409906728014","15","35","0","77","-0.0030933689043010824","0.0010517951879457919","-0.0013670484152620472","-0.00027142723078590794","0.0008972834281042936","-0.002355589658644567","-0.10719161481246971","-0.04588467358062079","0.007411547502995024"
"1","jumping","10.478499396778146","12","59","0","81","12.731531349734647","14","46","0","79","-0.005064830491897269","0.0027790020415218463","-0.002848450655333008","-0.004392676372862384","-0.012318929874166674","0.0030660974340719596","-0.1286109831910411","-0.05265462664049149","-0.005276001022936777"
"1","jumping","9.548605090130755","15","57","0","49","11.451280323736265","12","58","0","76","0.0012833456276451231","0.001054108286968349","-0.005077433866067625","-0.00039542899409263164","-0.001240882416979047","2.8864253392224094e-05","-0.1267345217357227","-0.05404078519049231","-0.007800409821139842"
"1","jumping","9.904908222363332","16","53","0","44","12.833635031415119","18","49","1","81","-0.0022831815843158995","0.0021036586870265403","-0.004957051060754931","-0.003263091125147658","-0.017154486055451917","0.002375386945460498","-0.11074570146530836","-0.03202782160868284","0.008689082055228193"
"1","jumping","10.337368325202101","11","61","0","47","13.949373590516139","17","46","0","78","-0.0006102067377169775","0.00043344850128238974","-0.005879488175713366","0.0012477958732126334","-0.005778194535131312","0.0029755474945668157","-0.11752418998927798","-0.022134879868747438","0.01909201283492659"
"1","jumping","9.072423592570354","8","57","0","72","12.851357754581548","13","52","1","49","0.0027538534330858785","-0.0010498053894857943","-0.009197045811933624","0.004951160085758024","-0.013388575700175705","0.0019142712947769565","-0.12326101726583695","-0.025216649387434426","0.02221008099598043"
"1","jumping","11.510549084646847","16","53","0","40","13.462551794712745","15","49","0","48","-0.0033172218959227825","0.0014228514712192402","-0.001718967054046467","-0.0023321226601946653","-0.002958590006153047","-0.00204525337398322","-0.09045983350254763","-0.03406420965895775","0.014513102021933224"
"1","jumping","11.693978607416629","11","65","0","45","14.219040484761862","11","53","1","73","-0.0006929964141251359","-0.000511040992691713","-0.0015101433769237772","0.0007895070386923548","-0.015177468559636762","-0.0013114569646295027","-0.1147632192616024","-0.04364835333637357","0.011225911873026208"
"1","jumping","11.880696145433904","11","58","0","82","14.68043739586502","14","50","2","77","-0.0037354507031292445","-0.002822447113614947","-0.004442237722565384","-0.0002497253144154005","-0.007720056411845176","-0.0019458588998736523","-0.11768546581048525","-0.043368156970777186","0.0037888590774499474"
"1","jumping","11.466021375253892","10","51","0","47","12.641461006343214","14","33","0","67","-0.0014409140099447195","0.0018861423287249114","-0.0002940868004969888","0.0020463350499653325","-0.0190335028234562","0.00508664306203135","-0.21503810506292162","-0.06562889990264809","-0.01864265245177504"
"1","jumping","11.5501025714637","13","48","0","42","12.967207349572728","13","39","0","56","0.005661449469376255","0.0018508719727927515","-0.005113800726252845","-0.0015949965101899179","-0.008869142468343602","0.004693726723618597","-0.20772920075932144","-0.06557441947478178","-0.021540933939785782"
